,index,groupid,size,Reason fo Separation
159,159,0,174,Zero Tolerance Policy
160,160,0,174,Zero Tolerance Policy
161,161,0,174,Zero Tolerance Policy
162,162,0,174,Zero Tolerance Policy
163,163,0,174,Zero Tolerance Policy
164,164,0,174,Zero Tolerance Policy
165,165,0,174,Zero Tolerance Policy
166,166,0,174,Zero Tolerance Policy
167,167,0,174,Zero Tolerance Policy
168,168,0,174,Zero Tolerance Policy
169,169,0,174,Zero Tolerance Policy
170,170,0,174,Zero Tolerance Policy
171,171,0,174,Zero Tolerance Policy
172,172,0,174,Zero Tolerance Policy
173,173,0,174,Zero Tolerance Policy
174,174,0,174,Zero Tolerance Policy
175,175,0,174,Zero Tolerance Policy
176,176,0,174,Zero Tolerance Policy
177,177,0,174,Zero Tolerance Policy
178,178,0,174,Zero Tolerance Policy
179,179,0,174,Zero Tolerance Policy
180,180,0,174,Zero Tolerance Policy
181,181,0,174,Zero Tolerance Policy
182,182,0,174,Zero Tolerance Policy
183,183,0,174,Zero Tolerance Policy
184,184,0,174,Zero Tolerance Policy
185,185,0,174,Zero Tolerance Policy
186,186,0,174,Zero Tolerance Policy
187,187,0,174,Zero Tolerance Policy
188,188,0,174,Zero Tolerance Policy
189,189,0,174,Zero Tolerance Policy
190,190,0,174,Zero Tolerance Policy
191,191,0,174,Zero Tolerance Policy
192,192,0,174,Zero Tolerance Policy
193,193,0,174,Zero Tolerance Policy
194,194,0,174,Zero Tolerance Policy
195,195,0,174,Zero Tolerance Policy
196,196,0,174,Zero Tolerance Policy
197,197,0,174,Zero Tolerance Policy
198,198,0,174,Zero Tolerance Policy
199,199,0,174,Zero Tolerance Policy
200,200,0,174,Zero Tolerance Policy
201,201,0,174,Zero Tolerance Policy
202,202,0,174,Zero Tolerance Policy
203,203,0,174,Zero Tolerance Policy
204,204,0,174,Zero Tolerance Policy
205,205,0,174,Zero Tolerance Policy
206,206,0,174,Zero Tolerance Policy
207,207,0,174,Zero Tolerance Policy
208,208,0,174,Zero Tolerance Policy
209,209,0,174,Zero Tolerance Policy
210,210,0,174,Zero Tolerance Policy
211,211,0,174,Zero Tolerance Policy
212,212,0,174,Zero Tolerance Policy
213,213,0,174,Zero Tolerance Policy
214,214,0,174,Zero Tolerance Policy
215,215,0,174,Zero Tolerance Policy
216,216,0,174,Zero Tolerance Policy
217,217,0,174,Zero Tolerance Policy
218,218,0,174,Zero Tolerance Policy
219,219,0,174,Zero Tolerance Policy
220,220,0,174,Zero Tolerance Policy
221,221,0,174,Zero Tolerance Policy
222,222,0,174,Zero Tolerance Policy
223,223,0,174,Zero Tolerance Policy
224,224,0,174,Zero Tolerance Policy
225,225,0,174,Zero Tolerance Policy
226,226,0,174,Zero Tolerance Policy
227,227,0,174,Zero Tolerance Policy
228,228,0,174,Zero Tolerance Policy
229,229,0,174,Zero Tolerance Policy
230,230,0,174,Zero Tolerance Policy
231,231,0,174,Zero Tolerance Policy
232,232,0,174,Zero Tolerance Policy
233,233,0,174,Zero Tolerance Policy
234,234,0,174,Zero Tolerance Policy
235,235,0,174,Zero Tolerance Policy
236,236,0,174,Zero Tolerance Policy
237,237,0,174,Zero Tolerance Policy
238,238,0,174,Zero Tolerance Policy
239,239,0,174,Zero Tolerance Policy
240,240,0,174,Zero Tolerance Policy
241,241,0,174,Zero Tolerance Policy
242,242,0,174,Zero Tolerance Policy
243,243,0,174,Zero Tolerance Policy
244,244,0,174,Zero Tolerance Policy
245,245,0,174,Zero Tolerance Policy
246,246,0,174,Zero Tolerance Policy
247,247,0,174,Zero Tolerance Policy
248,248,0,174,Zero Tolerance Policy
249,249,0,174,Zero Tolerance Policy
250,250,0,174,Zero Tolerance Policy
251,251,0,174,Zero Tolerance Policy
252,252,0,174,Zero Tolerance Policy
253,253,0,174,Zero Tolerance Policy
254,254,0,174,Zero Tolerance Policy
255,255,0,174,Zero Tolerance Policy
256,256,0,174,Zero Tolerance Policy
257,257,0,174,Zero Tolerance Policy
258,258,0,174,Zero Tolerance Policy
259,259,0,174,Zero Tolerance Policy
260,260,0,174,Zero Tolerance Policy
261,261,0,174,Zero Tolerance Policy
262,262,0,174,Zero Tolerance Policy
263,263,0,174,Zero Tolerance Policy
264,264,0,174,Zero Tolerance Policy
265,265,0,174,Zero Tolerance Policy
266,266,0,174,Zero Tolerance Policy
267,267,0,174,Zero Tolerance Policy
268,268,0,174,Zero Tolerance Policy
269,269,0,174,Zero Tolerance Policy
270,270,0,174,Zero Tolerance Policy
271,271,0,174,Zero Tolerance Policy
272,272,0,174,Zero Tolerance Policy
273,273,0,174,Zero Tolerance Policy
274,274,0,174,Zero Tolerance Policy
275,275,0,174,Zero Tolerance Policy
276,276,0,174,Zero Tolerance Policy
277,277,0,174,Zero Tolerance Policy
278,278,0,174,Zero Tolerance Policy
279,279,0,174,Zero Tolerance Policy
280,280,0,174,Zero Tolerance Policy
281,281,0,174,Zero Tolerance Policy
282,282,0,174,Zero Tolerance Policy
283,283,0,174,Zero Tolerance Policy
284,284,0,174,Zero Tolerance Policy
285,285,0,174,Zero Tolerance Policy
286,286,0,174,Zero Tolerance Policy
287,287,0,174,Zero Tolerance Policy
288,288,0,174,Zero Tolerance Policy
289,289,0,174,Zero Tolerance Policy
290,290,0,174,Zero Tolerance Policy
291,291,0,174,Zero Tolerance Policy
292,292,0,174,Zero Tolerance Policy
293,293,0,174,Zero Tolerance Policy
294,294,0,174,Zero Tolerance Policy
295,295,0,174,Zero Tolerance Policy
296,296,0,174,Zero Tolerance Policy
297,297,0,174,Zero Tolerance Policy
298,298,0,174,Zero Tolerance Policy
299,299,0,174,Zero Tolerance Policy
300,300,0,174,Zero Tolerance Policy
301,301,0,174,Zero Tolerance Policy
302,302,0,174,Zero Tolerance Policy
303,303,0,174,Zero Tolerance Policy
304,304,0,174,Zero Tolerance Policy
305,305,0,174,Zero Tolerance Policy
306,306,0,174,Zero Tolerance Policy
307,307,0,174,Zero Tolerance Policy
308,308,0,174,Zero Tolerance Policy
309,309,0,174,Zero Tolerance Policy
310,310,0,174,Zero Tolerance Policy
311,311,0,174,Zero Tolerance Policy
312,312,0,174,Zero Tolerance Policy
313,313,0,174,Zero Tolerance Policy
314,314,0,174,Zero Tolerance Policy
315,315,0,174,Zero Tolerance Policy
316,316,0,174,Zero Tolerance Policy
317,317,0,174,Zero Tolerance Policy
318,318,0,174,Zero Tolerance Policy
319,319,0,174,Zero Tolerance Policy
320,320,0,174,Zero Tolerance Policy
321,321,0,174,Zero Tolerance Policy
322,322,0,174,Zero Tolerance Policy
323,323,0,174,Zero Tolerance Policy
324,324,0,174,Zero Tolerance Policy
325,325,0,174,Zero Tolerance Policy
326,326,0,174,Zero Tolerance Policy
327,327,0,174,Zero Tolerance Policy
328,328,0,174,Zero Tolerance Policy
329,329,0,174,Zero Tolerance Policy
330,330,0,174,Zero Tolerance Policy
331,331,0,174,Zero Tolerance Policy
332,332,0,174,Zero Tolerance Policy
333,333,0,174,Zero Tolerance Policy
334,334,0,174,Zero Tolerance Policy
335,335,0,174,Zero Tolerance Policy
336,336,0,174,Zero Tolerance Policy
337,337,0,174,Zero Tolerance Policy
338,338,0,174,Zero Tolerance Policy
339,339,0,174,Zero Tolerance Policy
340,340,0,174,Zero Tolerance Policy
341,341,0,174,Zero Tolerance Policy
342,342,0,174,Zero Tolerance Policy
343,343,0,174,Zero Tolerance Policy
344,344,0,174,Zero Tolerance Policy
345,345,0,174,Zero Tolerance Policy
346,346,0,174,Zero Tolerance Policy
347,347,0,174,Zero Tolerance Policy
348,348,0,174,Zero Tolerance Policy
349,349,0,174,Zero Tolerance Policy
350,350,0,174,Zero Tolerance Policy
351,351,0,174,Zero Tolerance Policy
352,352,0,174,Zero Tolerance Policy
353,353,0,174,Zero Tolerance Policy
354,354,0,174,Zero Tolerance Policy
355,355,0,174,Zero Tolerance Policy
356,356,0,174,Zero Tolerance Policy
357,357,0,174,Zero Tolerance Policy
358,358,0,174,Zero Tolerance Policy
359,359,0,174,Zero Tolerance Policy
360,360,0,174,Zero Tolerance Policy
361,361,0,174,Zero Tolerance Policy
362,362,0,174,Zero Tolerance Policy
363,363,0,174,Zero Tolerance Policy
364,364,0,174,Zero Tolerance Policy
365,365,0,174,Zero Tolerance Policy
366,366,0,174,Zero Tolerance Policy
367,367,0,174,Zero Tolerance Policy
368,368,0,174,Zero Tolerance Policy
369,369,0,174,Zero Tolerance Policy
370,370,0,174,Zero Tolerance Policy
371,371,0,174,Zero Tolerance Policy
372,372,0,174,Zero Tolerance Policy
373,373,0,174,Zero Tolerance Policy
374,374,0,174,Zero Tolerance Policy
375,375,0,174,Zero Tolerance Policy
376,376,0,174,Zero Tolerance Policy
377,377,0,174,Zero Tolerance Policy
378,378,0,174,Zero Tolerance Policy
379,379,0,174,Zero Tolerance Policy
380,380,0,174,Zero Tolerance Policy
381,381,0,174,Zero Tolerance Policy
382,382,0,174,Zero Tolerance Policy
383,383,0,174,Zero Tolerance Policy
384,384,0,174,Zero Tolerance Policy
385,385,0,174,Zero Tolerance Policy
386,386,0,174,Zero Tolerance Policy
387,387,0,174,Zero Tolerance Policy
388,388,0,174,Zero Tolerance Policy
389,389,0,174,Zero Tolerance Policy
390,390,0,174,Zero Tolerance Policy
391,391,0,174,Zero Tolerance Policy
392,392,0,174,Zero Tolerance Policy
393,393,0,174,Zero Tolerance Policy
394,394,0,174,Zero Tolerance Policy
395,395,0,174,Zero Tolerance Policy
396,396,0,174,Zero Tolerance Policy
397,397,0,174,Zero Tolerance Policy
398,398,0,174,Zero Tolerance Policy
399,399,0,174,Zero Tolerance Policy
400,400,0,174,Zero Tolerance Policy
401,401,0,174,Zero Tolerance Policy
402,402,0,174,Zero Tolerance Policy
403,403,0,174,Zero Tolerance Policy
404,404,0,174,Zero Tolerance Policy
405,405,0,174,Zero Tolerance Policy
406,406,0,174,Zero Tolerance Policy
407,407,0,174,Zero Tolerance Policy
408,408,0,174,Zero Tolerance Policy
409,409,0,174,Zero Tolerance Policy
410,410,0,174,Zero Tolerance Policy
411,411,0,174,Zero Tolerance Policy
412,412,0,174,Zero Tolerance Policy
413,413,0,174,Zero Tolerance Policy
414,414,0,174,Zero Tolerance Policy
415,415,0,174,Zero Tolerance Policy
416,416,0,174,Zero Tolerance Policy
417,417,0,174,Zero Tolerance Policy
418,418,0,174,Zero Tolerance Policy
419,419,0,174,Zero Tolerance Policy
420,420,0,174,Zero Tolerance Policy
421,421,0,174,Zero Tolerance Policy
422,422,0,174,Zero Tolerance Policy
423,423,0,174,Zero Tolerance Policy
424,424,0,174,Zero Tolerance Policy
425,425,0,174,Zero Tolerance Policy
426,426,0,174,Zero Tolerance Policy
427,427,0,174,Zero Tolerance Policy
428,428,0,174,Zero Tolerance Policy
429,429,0,174,Zero Tolerance Policy
430,430,0,174,Zero Tolerance Policy
431,431,0,174,Zero Tolerance Policy
432,432,0,174,Zero Tolerance Policy
433,433,0,174,Zero Tolerance Policy
434,434,0,174,Zero Tolerance Policy
435,435,0,174,Zero Tolerance Policy
